                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                0.98069,                 1.3062,                 1.1814,                0.68396,                0.53839,                  0.592,                0.40987,                      0,                    inf,                      0,               0.006337,               0.006337,               0.006337
                     39,                  1.001,                 1.3293,                 1.1942,                0.64726,                0.51263,                0.58301,                0.39964,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     40,                0.95236,                 1.2185,                 1.1465,                0.58361,                0.58341,                0.59211,                0.40827,                      0,                    inf,                      0,               0.006139,               0.006139,               0.006139
                     41,                0.95307,                 1.2092,                 1.1697,                0.68672,                 0.5552,                0.62685,                0.43784,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     42,                0.94057,                 1.2146,                 1.1574,                0.65572,                0.64341,                0.67355,                0.48221,                      0,                    inf,                      0,               0.005941,               0.005941,               0.005941
                     43,                  0.965,                 1.2653,                 1.1653,                0.81859,                0.55741,                0.68176,                0.48692,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     44,                0.94455,                 1.2251,                 1.1624,                0.69364,                0.61408,                0.66757,                0.47264,                      0,                    inf,                      0,               0.005743,               0.005743,               0.005743
                     45,                 0.9072,                 1.1602,                 1.1376,                0.69774,                0.59331,                0.65214,                0.46575,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     46,                0.90884,                 1.1329,                 1.1309,                0.71101,                0.61932,                0.66086,                0.47672,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     47,                0.91657,                 1.1689,                 1.1452,                0.68741,                0.57695,                0.62919,                0.44383,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     48,                  0.946,                 1.1551,                 1.1427,                0.65375,                0.62709,                0.63051,                0.44926,                      0,                    inf,                      0,               0.005347,               0.005347,               0.005347
                     49,                0.89786,                 1.1262,                 1.1251,                0.74598,                0.58323,                0.63365,                0.45889,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     50,                0.93237,                 1.1474,                  1.143,                0.68362,                0.61473,                0.63007,                0.45517,                      0,                    inf,                      0,               0.005149,               0.005149,               0.005149
                     51,                0.89645,                 1.0837,                 1.1163,                 0.7289,                0.59234,                0.64536,                0.46158,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     52,                0.90542,                  1.107,                 1.1188,                0.78411,                0.60337,                0.68823,                0.48887,                      0,                    inf,                      0,               0.004951,               0.004951,               0.004951
                     53,                0.87994,                 1.0975,                  1.105,                 0.7615,                 0.6115,                0.68545,                0.48431,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     54,                0.88838,                 1.1056,                 1.1193,                 0.7697,                0.60618,                0.67565,                0.47757,                      0,                    inf,                      0,               0.004753,               0.004753,               0.004753
                     55,                0.86275,                 1.0924,                 1.1051,                0.75878,                0.61679,                0.68749,                0.48658,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     56,                0.85483,                 1.0389,                 1.0945,                0.77327,                 0.6053,                0.68044,                0.48309,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     57,                 0.8253,                 1.0126,                 1.0814,                0.77254,                0.59278,                0.66625,                0.47398,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     58,                0.80514,                 1.0045,                 1.0731,                0.71942,                0.58409,                0.64418,                0.46319,                      0,                    inf,                      0,               0.004357,               0.004357,               0.004357
                     59,                  0.834,                0.99155,                 1.0791,                0.75655,                0.60276,                0.67204,                0.47813,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
